Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020,2024
715,Northern Africa and Western Asia,,,1833,Chile,152,2 336,2 874,3 072,3 205,3 356,3 599,3 877,4 119
716,Northern Africa and Western Asia,,,1833,Colombia,170,1 025,1 290,1 736,2 325,3 158,3 156,3 685,3 783
717,Northern Africa and Western Asia,,,1833,Ecuador,218,2,3,4,6,8,7,6,6
718,Northern Africa and Western Asia,,,1833,Paraguay,600,2,3,4,6,8,7,6,6
719,Northern Africa and Western Asia,,,1833,Peru,604,547,698,1 151,1 774,2 575,2 797,3 028,3 228
720,Northern Africa and Western Asia,,,1833,Suriname,740,1,2,2,3,3,2,1,1
721,Northern Africa and Western Asia,,,1833,Uruguay,858,3 813,4 711,5 283,5 779,6 299,6 792,7 319,7 775
722,Northern Africa and Western Asia,,,1833,Venezuela (Bolivarian Republic of),862,569,714,926,1 175,1 483,1 596,1 722,1 833
723,Northern Africa and Western Asia,,,1833,NORTHERN AMERICA,905,104 667,110 183,116 135,132 532,155 372,166 655,185 773,201 719
724,Northern Africa and Western Asia,,,1833,Canada,124,5 985,7 806,9 612,11 224,13 063,13 035,14 804,15 512
725,Northern Africa and Western Asia,,,1833,United States of America*,840,98 682,102 377,106 523,121 308,142 309,153 620,170 969,186 207
726,Northern Africa and Western Asia,,,1833,OCEANIA,909,4 595,4 948,5 249,6 473,8 123,7 301,8 869,9 238
727,Northern Africa and Western Asia,,,1833,Australia/New Zealand,927,4 594,4 946,5 247,6 470,8 120,7 299,8 868,9 237
728,Northern Africa and Western Asia,,,1833,Australia*,36,4 571,4 913,5 205,6 406,8 022,7 210,8 777,9 140
729,Northern Africa and Western Asia,,,1833,New Zealand*,554,23,33,42,64,98,89,91,97
730,Northern Africa and Western Asia,,,1833,Melanesia,928,1,2,2,3,3,2,1,1
731,Northern Africa and Western Asia,,,1833,Fiji,242,1,2,2,3,3,2,1,1
732,Northern Africa and Western Asia,,,1833,Others,2003,1 474 309,1 382 584,1 569 782,1 530 455,2 231 298,2 514 031,2 169 336,2 196 891
733,Central and Southern Asia,,,1831,World,900,25 456 471,20 140 424,18 979 217,17 615 413,18 225 935,17 681 574,17 736 883,20 369 652
734,Central and Southern Asia,,,1831,Sub-Saharan Africa,1834,19 759,15 310,11 924,11 070,11 384,10 405,9 685,9 310
735,Central and Southern Asia,,,1831,Northern Africa and Western Asia,1833,504 197,435 770,370 468,300 497,291 301,255 614,237 100,248 227
736,Central and Southern Asia,,,1831,Central and Southern Asia,1831,18 204 787,14 256 731,14 164 389,12 729 041,13 104 996,12 546 076,12 020 324,13 222 390
737,Central and Southern Asia,,,1831,Eastern and South-Eastern Asia,1832,966 026,1 118 224,1 145 197,1 150 818,1 372 766,1 430 897,2 082 512,2 745 896
738,Central and Southern Asia,,,1831,Latin America and the Caribbean,1830,589,5 420,10 255,12 207,14 144,14 978,14 684,20 153
739,Central and Southern Asia,,,1831,Oceania (excluding Australia and New Zealand),1835,2 038,776,242,168,133,123,115,108
740,Central and Southern Asia,,,1831,Australia/New Zealand,1836,2 916,1 953,1 265,1 774,2 898,2 821,2 696,2 628
741,Central and Southern Asia,,,1831,Europe and Northern America,1829,5 033 427,3 628 428,2 855 328,2 666 444,2 505 750,2 395 049,2 339 859,2 330 456
742,Central and Southern Asia,,,1831,More developed regions,901,5 046 357,3 640 802,2 867 427,2 681 032,2 523 698,2 413 613,2 357 991,2 353 545
743,Central and Southern Asia,,,1831,Less developed regions,902,19 687 382,15 821 810,15 691 641,14 190 987,14 779 674,14 242 350,14 348 984,16 225 623
744,Central and Southern Asia,,,1831,Least developed countries,941,12 328 095,8 905 558,9 119 523,7 888 016,8 666 480,8 222 832,8 640 137,10 301 070
745,Central and Southern Asia,,,1831,"Less developed regions, excluding least developed countries",934,7 359 287,6 916 252,6 572 118,6 302 971,6 113 194,6 019 518,5 708 847,5 924 553
746,Central and Southern Asia,,,1831,"Less developed regions, excluding China",948,19 439 950,15 457 651,15 328 273,13 800 686,14 340 361,13 772 482,13 879 871,15 695 483
747,Central and Southern Asia,,,1831,Land-locked Developing Countries (LLDC),1636,8 813 359,5 663 250,6 233 502,5 611 653,6 711 553,6 460 147,6 464 996,7 907 207
748,Central and Southern Asia,,,1831,Small Island Developing States (SIDS),1637,25 331,18 723,14 339,16 044,19 246,19 015,18 365,21 567
749,Central and Southern Asia,,,1831,High-and-upper-middle-income countries,5503,5 673 207,4 516 675,3 831 320,3 669 195,3 603 338,3 506 118,3 427 628,3 642 693
750,Central and Southern Asia,,,1831,Low-and-Lower-middle-income countries,5504,19 060 532,14 945 937,14 727 748,13 202 824,13 700 034,13 149 845,13 279 347,14 936 475
751,Central and Southern Asia,,,1831,High-income countries,1503,236 815,242 185,238 036,263 940,307 567,306 329,295 028,343 009
752,Central and Southern Asia,,,1831,Low-and-middle-income countries,1859,24 496 924,19 220 427,18 321 032,16 608 079,16 995 805,16 349 634,16 411 947,18 236 159
753,Central and Southern Asia,,,1831,Middle-income countries,1517,17 104 544,15 210 858,13 967 327,13 025 704,12 393 092,11 975 709,12 056 172,12 515 767
754,Central and Southern Asia,,,1831,Upper-middle-income countries,1502,5 436 392,4 274 490,3 593 284,3 405 255,3 295 771,3 199 789,3 132 600,3 299 684
755,Central and Southern Asia,,,1831,Lower-middle-income countries,1501,11 668 152,10 936 368,10 374 043,9 620 449,9 097 321,8 775 920,8 923 572,9 216 083
756,Central and Southern Asia,,,1831,Low-income countries,1500,7 392 380,4 009 569,4 353 705,3 582 375,4 602 713,4 373 925,4 355 775,5 720 392
757,Central and Southern Asia,,,1831,AFRICA,903,19 973,15 618,12 191,11 335,11 738,10 855,10 207,10 461
758,Central and Southern Asia,,,1831,Eastern Africa,910,12 755,8 484,5 262,4 426,4 684,4 282,4 189,4 126
759,Central and Southern Asia,,,1831,Kenya,404,7 494,4 902,3 021,2 666,2 495,2 328,2 184,2 078
760,Central and Southern Asia,,,1831,Mauritius,480,2 330,1 024,402,279,213,197,183,172
761,Central and Southern Asia,,,1831,Seychelles,690,0..,2,5,12,26,25,24,24
762,Central and Southern Asia,,,1831,Somalia,706,0..,319,114,128,838,692,827,892
763,Central and Southern Asia,,,1831,Uganda,800,1 973,1 334,894,830,812,764,714,718
764,Central and Southern Asia,,,1831,Zambia,894,958,903,826,511,300,276,257,242
765,Central and Southern Asia,,,1831,Middle Africa,911,0..,0..,0..,0..,16,91,281,470
766,Central and Southern Asia,,,1831,Cameroon,120,0..,0..,0..,0..,0..,25,177,236
767,Central and Southern Asia,,,1831,Democratic Republic of the Congo,180,0..,0..,0..,0..,16,66,104,234
768,Central and Southern Asia,,,1831,Northern Africa,912,214,308,267,265,354,450,522,1 151
769,Central and Southern Asia,,,1831,Algeria,12,198,160,138,133,132,129,128,128
770,Central and Southern Asia,,,1831,Egypt,818,16,39,64,90,160,167,169,173
771,Central and Southern Asia,,,1831,Libya,434,0..,4,9,19,40,40,39,39
772,Central and Southern Asia,,,1831,Sudan,729,0..,105,56,23,22,114,186,811
773,Central and Southern Asia,,,1831,Southern Africa,913,5 787,5 817,5 848,5 911,6 010,5 187,4 458,3 974
774,Central and Southern Asia,,,1831,South Africa,710,5 787,5 817,5 848,5 911,6 010,5 187,4 458,3 974
775,Central and Southern Asia,,,1831,Western Africa,914,1 217,1 009,814,733,674,845,757,740
776,Central and Southern Asia,,,1831,Niger,562,37,30,26,24,23,22,20,20
777,Central and Southern Asia,,,1831,Nigeria,566,1 180,979,788,709,651,823,737,720
778,Central and Southern Asia,,,1831,ASIA,935,19 674 796,15 810 417,15 679 787,14 180 091,14 768 709,14 232 137,14 339 414,16 215 362
779,Central and Southern Asia,,,1831,Central Asia,5500,642 845,752 331,905 047,947 599,959 209,1 019 834,1 094 658,1 156 930
780,Central and Southern Asia,,,1831,Kazakhstan,398,106 438,87 273,69 302,59 655,50 155,47 209,46 610,46 141
781,Central and Southern Asia,,,1831,Kyrgyzstan,417,113 875,93 092,81 462,87 522,94 417,101 699,110 153,116 451
782,Central and Southern Asia,,,1831,Tajikistan,762,74 390,103 813,114 232,106 917,64 044,54 372,45 747,45 829
783,Central and Southern Asia,,,1831,Turkmenistan,795,34 541,64 023,104 827,109 721,112 693,115 322,118 466,121 259
784,Central and Southern Asia,,,1831,Uzbekistan,860,313 601,404 130,535 224,583 784,637 900,701 232,773 682,827 250
785,Central and Southern Asia,,,1831,Eastern Asia,906,307 321,428 256,431 718,464 966,520 993,556 598,560 449,630 225
786,Central and Southern Asia,,,1831,China,156,247 432,364 159,363 368,390 301,439 313,469 868,469 113,530 140
787,Central and Southern Asia,,,1831,Dem. People's Republic of Korea,408,1 038,1 251,1 446,1 813,2 175,1 932,1 883,1 847
788,Central and Southern Asia,,,1831,Japan,392,10 014,10 421,10 834,12 814,15 050,15 743,15 436,20 461
789,Central and Southern Asia,,,1831,Mongolia,496,45 599,50 041,54 312,58 292,62 564,67 150,72 075,75 801
790,Central and Southern Asia,,,1831,Republic of Korea,410,3 238,2 384,1 758,1 746,1 891,1 905,1 942,1 976
791,Central and Southern Asia,,,1831,Southern Asia,5501,17 561 942,13 504 400,13 259 342,11 781 442,12 145 787,11 526 242,10 925 666,12 065 460
792,Central and Southern Asia,,,1831,Afghanistan,4,7 389 332,4 006 522,4 351 152,3 579 522,4 598 754,4 370 144,4 351 132,5 715 132
793,Central and Southern Asia,,,1831,Bangladesh,50,4 063 566,3 966 586,3 756 022,3 291 292,2 831 468,2 642 658,2 470 650,2 338 190
794,Central and Southern Asia,,,1831,Bhutan,64,26 840,116 801,119 251,116 403,83 622,36 393,34 657,33 343
795,Central and Southern Asia,,,1831,India,356,3 264 895,2 968 021,2 740 285,2 616 342,2 505 011,2 260 242,2 132 012,2 132 928
796,Central and Southern Asia,,,1831,Iran (Islamic Republic of),364,15 450,12 503,11 307,10 533,10 459,10 463,10 170,10 154
797,Central and Southern Asia,,,1831,Maldives,462,1 544,901,647,1 118,2 144,2 035,2 010,1 998
798,Central and Southern Asia,,,1831,Nepal,524,489 552,555 524,641 809,735 495,828 397,787 022,736 013,717 266
799,Central and Southern Asia,,,1831,Pakistan,586,1 847 830,1 583 361,1 376 905,1 179 571,1 010 463,1 161 107,932 960,854 054
800,Central and Southern Asia,,,1831,Sri Lanka,144,462 933,294 181,261 964,251 166,275 469,256 178,256 062,262 395
801,Central and Southern Asia,,,1831,South-Eastern Asia,920,658 705,689 968,713 479,685 852,851 773,874 299,1 522 063,2 115 671
802,Central and Southern Asia,,,1831,Brunei Darussalam,96,20 385,31 440,30 222,28 226,26 335,24 657,23 083,21 899
803,Central and Southern Asia,,,1831,Cambodia,116,12 924,13 190,13 455,16 015,18 541,19 642,19 259,26 460
804,Central and Southern Asia,,,1831,Indonesia,360,72 907,85 902,99 003,124 922,145 323,154 474,151 428,207 434
805,Central and Southern Asia,,,1831,Lao People's Democratic Republic,418,58 722,59 555,60 387,71 878,83 217,88 155,86 447,118 769
806,Central and Southern Asia,,,1831,Malaysia,458,104 368,139 167,174 691,205 163,219 541,217 350,212 566,286 587
807,Central and Southern Asia,,,1831,Myanmar,104,311 031,301 487,294 774,192 280,304 054,313 122,973 655,1 381 635
808,Central and Southern Asia,,,1831,Philippines,608,312,247,168,540,735,929,1 009,1 081
809,Central and Southern Asia,,,1831,Singapore,702,19 382,15 987,13 009,14 425,16 669,16 576,15 977,19 209
810,Central and Southern Asia,,,1831,Thailand,764,15 601,12 090,8 575,9 450,10 781,11 182,11 006,14 901
811,Central and Southern Asia,,,1831,Viet Nam,704,43 073,30 903,19 195,22 953,26 577,28 212,27 633,37 696
812,Central and Southern Asia,,,1831,Western Asia,922,503 983,435 462,370 201,300 232,290 947,255 164,236 578,247 076
813,Central and Southern Asia,,,1831,Armenia,51,38 895,32 975,28 416,27 487,25 134,23 865,23 373,23 162
814,Central and Southern Asia,,,1831,Azerbaijan,31,85 960,67 806,58 572,61 822,58 786,56 164,55 365,55 589
815,Central and Southern Asia,,,1831,Bahrain,48,93,10 425,20 758,24 786,28 864,30 558,29 976,41 037
816,Central and Southern Asia,,,1831,Cyprus,196,2,31,61,122,247,250,251,254
817,Central and Southern Asia,,,1831,Georgia,268,47 212,26 618,17 272,16 381,15 446,15 330,15 591,15 808
818,Central and Southern Asia,,,1831,Iraq,368,292 350,259 068,206 122,122 378,100 697,70 030,55 523,56 504
819,Central and Southern Asia,,,1831,Israel,376,402,285,227,247,284,292,300,316
820,Central and Southern Asia,,,1831,Jordan,400,3,34,67,134,271,274,276,279
821,Central and Southern Asia,,,1831,Kuwait,414,14 678,11 303,8 031,8 637,10 186,9 696,9 182,8 806
822,Central and Southern Asia,,,1831,Lebanon,422,15,101,189,366,732,742,750,759
823,Central and Southern Asia,,,1831,Oman,512,60,87,121,199,362,364,365,369
824,Central and Southern Asia,,,1831,Qatar,634,3,34,67,134,270,273,275,278
825,Central and Southern Asia,,,1831,Saudi Arabia,682,5 549,5 624,5 700,8 478,13 473,13 001,12 239,11 813
826,Central and Southern Asia,,,1831,State of Palestine,275,0..,0..,351,11,8,0..,0..,7
827,Central and Southern Asia,,,1831,Syrian Arab Republic,760,0..,8,17,35,73,73,72,73
828,Central and Southern Asia,,,1831,Türkiye,792,8 960,8 984,9 432,9 536,10 153,9 414,8 942,8 985
829,Central and Southern Asia,,,1831,United Arab Emirates,784,9 801,12 079,14 798,19 479,25 961,24 720,23 261,22 372
830,Central and Southern Asia,,,1831,Yemen,887,0..,0..,0..,0..,0..,118,837,665
831,Central and Southern Asia,,,1831,EUROPE,908,4 992 811,3 589 076,2 816 679,2 617 324,2 437 945,2 325 453,2 272 586,2 247 003
832,Central and Southern Asia,,,1831,Eastern Europe,923,4 892 000,3 496 385,2 731 258,2 529 705,2 345 771,2 234 102,2 184 172,2 143 093
833,Central and Southern Asia,,,1831,Belarus,112,180 971,112 854,79 184,74 348,68 160,64 401,62 737,61 375
834,Central and Southern Asia,,,1831,Poland,616,8 115,7 339,6 383,5 470,4 502,3 997,3 846,3 726
835,Central and Southern Asia,,,1831,Republic of Moldova*,498,32 646,19 428,12 810,11 790,10 735,10 358,10 285,10 235
836,Central and Southern Asia,,,1831,Romania,642,713,718,701,628,547,482,468,458
837,Central and Southern Asia,,,1831,Russian Federation,643,4 155 860,2 980 234,2 343 990,2 162 630,2 006 223,1 912 321,1 870 162,1 835 169
838,Central and Southern Asia,,,1831,Ukraine*,804,513 695,375 812,288 190,274 839,255 604,242 543,236 674,232 130
839,Central and Southern Asia,,,1831,Northern Europe,924,46 735,51 616,57 414,61 298,65 849,66 375,64 016,79 983
840,Central and Southern Asia,,,1831,Denmark*,208,217,182,163,164,169,168,167,168
841,Central and Southern Asia,,,1831,Estonia,233,3 685,2 797,2 179,2 023,1 869,1 835,1 865,1 891
842,Central and Southern Asia,,,1831,Finland*,246,361,309,251,214,193,177,171,170
843,Central and Southern Asia,,,1831,Ireland,372,242,242,242,242,241,206,176,155
844,Central and Southern Asia,,,1831,Latvia,428,7 447,6 008,4 727,3 775,2 939,2 414,2 072,1 636
845,Central and Southern Asia,,,1831,Lithuania,440,16 016,13 109,10 472,8 416,6 572,5 446,4 775,3 915
846,Central and Southern Asia,,,1831,Norway*,578,4 241,7 036,9 832,11 726,13 625,14 428,14 149,19 396
847,Central and Southern Asia,,,1831,Sweden,752,51,76,101,120,180,188,189,194
848,Central and Southern Asia,,,1831,United Kingdom*,826,14 475,21 857,29 447,34 618,40 061,41 513,40 452,52 458
849,Central and Southern Asia,,,1831,Southern Europe,925,732,1 302,1 882,3 088,5 727,5 534,5 608,5 675
850,Central and Southern Asia,,,1831,Greece,300,1,11,22,44,89,90,89,90
851,Central and Southern Asia,,,1831,Italy,380,319,996,1 655,2 875,5 477,5 273,5 357,5 428
852,Central and Southern Asia,,,1831,Portugal,620,412,292,197,152,125,136,128,123
853,Central and Southern Asia,,,1831,Spain*,724,0..,3,8,17,36,35,34,34
854,Central and Southern Asia,,,1831,Western Europe,926,53 344,39 773,26 125,23 233,20 598,19 442,18 790,18 252
855,Central and Southern Asia,,,1831,Austria,40,148,115,90,83,85,86,84,86
856,Central and Southern Asia,,,1831,France*,250,5 296,3 111,1 705,1 494,1 504,1 450,1 395,1 355
857,Central and Southern Asia,,,1831,Germany,276,47 613,36 255,24 025,21 289,18 478,17 354,16 752,16 238
858,Central and Southern Asia,,,1831,Netherlands*,528,87,74,68,68,70,70,67,68
859,Central and Southern Asia,,,1831,Switzerland,756,200,218,237,299,461,482,492,505
860,Central and Southern Asia,,,1831,LATIN AMERICA AND THE CARIBBEAN,904,589,5 420,10 255,12 207,14 144,14 978,14 684,20 153
861,Central and Southern Asia,,,1831,Caribbean,915,37,33,34,42,61,59,56,56
862,Central and Southern Asia,,,1831,Haiti,332,0..,3,8,18,38,37,36,36
863,Central and Southern Asia,,,1831,United States Virgin Islands*,850,37,30,26,24,23,22,20,20
864,Central and Southern Asia,,,1831,South America,931,552,5 387,10 221,12 165,14 083,14 919,14 628,20 097
865,Central and Southern Asia,,,1831,Brazil,76,552,5 387,10 221,12 165,14 083,14 919,14 628,20 097
866,Central and Southern Asia,,,1831,NORTHERN AMERICA,905,40 616,39 352,38 649,49 120,67 805,69 596,67 273,83 453
867,Central and Southern Asia,,,1831,Canada,124,5 732,3 809,2 338,2 694,3 507,3 354,3 163,3 037
868,Central and Southern Asia,,,1831,United States of America*,840,34 884,35 543,36 311,46 426,64 298,66 242,64 110,80 416
869,Central and Southern Asia,,,1831,OCEANIA,909,4 954,2 729,1 507,1 942,3 031,2 944,2 811,2 736
870,Central and Southern Asia,,,1831,Australia/New Zealand,927,2 916,1 953,1 265,1 774,2 898,2 821,2 696,2 628
871,Central and Southern Asia,,,1831,Australia*,36,2 732,1 784,1 096,1 576,2 639,2 560,2 437,2 366
872,Central and Southern Asia,,,1831,New Zealand*,554,184,169,169,198,259,261,259,262
873,Central and Southern Asia,,,1831,Melanesia,928,2 038,776,242,168,133,123,115,108
874,Central and Southern Asia,,,1831,Fiji,242,2 038,776,242,168,133,123,115,108
875,Central and Southern Asia,,,1831,Others,2003,722 732,677 812,420 149,743 394,922 563,1 025 611,1 029 908,1 790 484
876,Eastern and South-Eastern Asia,,,1832,World,900,6 755 128,8 203 094,10 530 525,12 702 261,16 051 107,18 869 062,21 161 853,22 588 980
877,Eastern and South-Eastern Asia,,,1832,Sub-Saharan Africa,1834,6 305,9 088,11 666,14 278,18 135,27 967,46 231,51 006
878,Eastern and South-Eastern Asia,,,1832,Northern Africa and Western Asia,1833,9 412,11 671,15 154,16 186,21 040,28 274,40 963,40 772
879,Eastern and South-Eastern Asia,,,1832,Central and Southern Asia,1831,270 867,363 968,475 798,780 381,1 259 911,1 729 953,1 927 530,2 122 924
880,Eastern and South-Eastern Asia,,,1832,Eastern and South-Eastern Asia,1832,5 542 335,6 563 456,8 142 498,9 920 726,12 704 768,14 816 650,16 757 709,18 020 956
881,Eastern and South-Eastern Asia,,,1832,Latin America and the Caribbean,1830,68 314,212 496,313 803,375 501,328 228,259 972,305 900,303 158
882,Eastern and South-Eastern Asia,,,1832,Australia/New Zealand,1836,37 699,46 644,57 553,61 932,67 678,95 555,91 659,75 984
883,Eastern and South-Eastern Asia,,,1832,Europe and Northern America,1829,261 260,313 739,375 579,496 540,643 694,733 745,772 253,774 871
884,Eastern and South-Eastern Asia,,,1832,More developed regions,901,376 733,456 662,561 149,727 841,926 162,1 036 995,1 063 556,1 079 844
885,Eastern and South-Eastern Asia,,,1832,Less developed regions,902,5 819 459,7 064 400,8 830 902,10 937 703,14 117 292,16 655 121,18 878 689,20 309 827
886,Eastern and South-Eastern Asia,,,1832,Least developed countries,941,196 395,257 777,657 651,1 479 710,2 753 504,3 431 566,4 032 540,4 460 081
887,Eastern and South-Eastern Asia,,,1832,"Less developed regions, excluding least developed countries",934,5 623 064,6 806 623,8 173 251,9 457 993,11 363 788,13 223 555,14 846 149,15 849 746
888,Eastern and South-Eastern Asia,,,1832,"Less developed regions, excluding China",948,2 795 489,3 766 196,5 231 814,6 786 523,9 096 188,10 858 271,12 605 497,13 841 313
889,Eastern and South-Eastern Asia,,,1832,Land-locked Developing Countries (LLDC),1636,35 219,43 004,88 900,392 033,578 610,947 107,1 115 931,1 254 808
890,Eastern and South-Eastern Asia,,,1832,Small Island Developing States (SIDS),1637,95 693,110 156,269 058,121 630,132 465,165 134,198 414,205 793
891,Eastern and South-Eastern Asia,,,1832,High-and-upper-middle-income countries,5503,5 329 503,6 424 209,7 616 595,8 703 807,10 587 084,11 943 919,12 859 011,13 489 951
892,Eastern and South-Eastern Asia,,,1832,Low-and-Lower-middle-income countries,5504,865 712,1 095 681,1 774 062,2 960 078,4 454 358,5 744 910,7 078 066,7 893 834
893,Eastern and South-Eastern Asia,,,1832,High-income countries,1503,1 492 337,1 622 429,1 789 349,2 018 297,2 317 954,2 529 583,2 536 363,2 595 104
894,Eastern and South-Eastern Asia,,,1832,Low-and-middle-income countries,1859,4 702 878,5 897 461,7 601 308,9 645 588,12 723 488,15 159 246,17 400 714,18 788 681
895,Eastern and South-Eastern Asia,,,1832,Middle-income countries,1517,4 687 736,5 878 427,7 577 806,9 617 032,12 683 395,15 095 008,17 321 808,18 710 149
896,Eastern and South-Eastern Asia,,,1832,Upper-middle-income countries,1502,3 837 166,4 801 780,5 827 246,6 685 510,8 269 130,9 414 336,10 322 648,10 894 847
897,Eastern and South-Eastern Asia,,,1832,Lower-middle-income countries,1501,850 570,1 076 647,1 750 560,2 931 522,4 414 265,5 680 672,6 999 160,7 815 302
898,Eastern and South-Eastern Asia,,,1832,Low-income countries,1500,15 142,19 034,23 502,28 556,40 093,64 238,78 906,78 532
899,Eastern and South-Eastern Asia,,,1832,No income group available,1518,977,1 172,1 394,1 659,2 012,3 287,5 168,5 886
900,Eastern and South-Eastern Asia,,,1832,AFRICA,903,8 282,11 612,15 003,18 358,23 168,33 478,52 625,57 611
901,Eastern and South-Eastern Asia,,,1832,Eastern Africa,910,2 037,2 552,3 053,3 649,5 384,9 596,17 942,19 041
902,Eastern and South-Eastern Asia,,,1832,Burundi,108,122,152,195,216,249,337,429,516
903,Eastern and South-Eastern Asia,,,1832,Eritrea,232,0..,0..,0..,0..,0..,30,264,171
904,Eastern and South-Eastern Asia,,,1832,Ethiopia,231,200,241,287,341,416,1 003,1 642,1 823
905,Eastern and South-Eastern Asia,,,1832,Kenya,404,443,555,698,877,1 119,1 522,1 837,2 119
906,Eastern and South-Eastern Asia,,,1832,Madagascar,450,109,131,155,185,224,379,618,705
907,Eastern and South-Eastern Asia,,,1832,Mauritius,480,335,393,467,555,645,354,187,198
908,Eastern and South-Eastern Asia,,,1832,Rwanda,646,68,87,109,116,144,431,1 184,1 400
909,Eastern and South-Eastern Asia,,,1832,Somalia,706,190,304,321,380,1 393,2 830,5 278,4 575
910,Eastern and South-Eastern Asia,,,1832,Uganda,800,148,178,212,252,305,520,833,917
911,Eastern and South-Eastern Asia,,,1832,United Republic of Tanzania,834,220,265,316,375,459,902,1 708,1 967
912,Eastern and South-Eastern Asia,,,1832,Zambia,894,130,158,188,223,274,651,1 491,1 737
913,Eastern and South-Eastern Asia,,,1832,Zimbabwe,716,72,88,105,129,156,637,2 471,2 913
914,Eastern and South-Eastern Asia,,,1832,Middle Africa,911,872,1 062,1 311,1 597,2 000,3 181,5 629,6 379
915,Eastern and South-Eastern Asia,,,1832,Cameroon,120,315,397,504,649,866,1 513,3 037,3 423
916,Eastern and South-Eastern Asia,,,1832,Congo,178,418,498,598,706,844,1 002,1 132,1 263
917,Eastern and South-Eastern Asia,,,1832,Democratic Republic of the Congo,180,62,75,99,112,132,373,935,1 091
918,Eastern and South-Eastern Asia,,,1832,Equatorial Guinea,226,77,92,110,130,158,293,525,602
919,Eastern and South-Eastern Asia,,,1832,Northern Africa,912,1 977,2 524,3 337,4 080,5 033,5 511,6 394,6 605
920,Eastern and South-Eastern Asia,,,1832,Algeria,12,276,325,387,460,542,443,349,379
921,Eastern and South-Eastern Asia,,,1832,Egypt,818,983,1 351,1 941,2 380,2 989,3 237,3 616,3 659
922,Eastern and South-Eastern Asia,,,1832,Morocco,504,105,126,150,178,217,447,889,1 026
923,Eastern and South-Eastern Asia,,,1832,Sudan,729,613,722,859,1 062,1 285,1 384,1 540,1 541
924,Eastern and South-Eastern Asia,,,1832,Southern Africa,913,1 000,1 236,1 529,1 904,2 431,3 885,5 868,6 544
925,Eastern and South-Eastern Asia,,,1832,South Africa,710,1 000,1 236,1 529,1 904,2 431,3 885,5 868,6 544
926,Eastern and South-Eastern Asia,,,1832,Western Africa,914,2 396,4 238,5 773,7 128,8 320,11 305,16 792,19 042
927,Eastern and South-Eastern Asia,,,1832,Côte d'Ivoire,384,46,54,65,83,95,235,499,588
928,Eastern and South-Eastern Asia,,,1832,Ghana,288,1 055,1 743,2 372,2 708,3 001,3 930,5 463,6 090
929,Eastern and South-Eastern Asia,,,1832,Guinea,324,170,202,241,286,344,489,591,724
930,Eastern and South-Eastern Asia,,,1832,Liberia,430,48,56,67,85,99,309,679,794
931,Eastern and South-Eastern Asia,,,1832,Mali,466,266,316,376,448,538,704,844,960
932,Eastern and South-Eastern Asia,,,1832,Nigeria,566,766,1 794,2 534,3 328,3 935,5 151,7 680,8 854
933,Eastern and South-Eastern Asia,,,1832,Senegal,686,45,73,118,190,308,487,1 036,1 032
934,Eastern and South-Eastern Asia,,,1832,ASIA,935,5 820 637,6 936 571,8 630 113,10 713 213,13 980 686,16 569 366,18 719 808,20 178 047
935,Eastern and South-Eastern Asia,,,1832,Central Asia,5500,4 879,7 254,10 519,14 942,22 376,48 771,96 449,102 456
936,Eastern and South-Eastern Asia,,,1832,Kazakhstan,398,3 171,4 420,6 146,6 875,7 994,7 200,29 662,32 161
937,Eastern and South-Eastern Asia,,,1832,Kyrgyzstan,417,494,582,693,824,966,742,548,591
938,Eastern and South-Eastern Asia,,,1832,Tajikistan,762,268,317,377,450,537,576,597,651
939,Eastern and South-Eastern Asia,,,1832,Turkmenistan,795,226,270,322,384,464,705,1 031,1 169
940,Eastern and South-Eastern Asia,,,1832,Uzbekistan,860,720,1 665,2 981,6 409,12 415,39 548,64 611,67 884
941,Eastern and South-Eastern Asia,,,1832,Eastern Asia,906,3 868 225,4 158 837,4 493 238,5 078 170,6 006 367,6 746 666,7 138 180,7 355 205
942,Eastern and South-Eastern Asia,,,1832,China,156,2 727 554,2 950 941,3 190 600,3 665 635,4 437 286,5 075 121,5 462 997,5 567 122
943,Eastern and South-Eastern Asia,,,1832,"China, Hong Kong SAR",344,133 850,159 472,189 563,225 407,269 130,339 421,416 154,484 524
944,Eastern and South-Eastern Asia,,,1832,"China, Macao SAR",446,67 366,70 977,74 875,82 359,90 850,105 417,127 940,137 988
945,Eastern and South-Eastern Asia,,,1832,"China, Taiwan Province of China",158,95 200,116 814,144 050,177 779,223 838,276 891,266 101,278 880
946,Eastern and South-Eastern Asia,,,1832,Dem. People's Republic of Korea,408,11 357,14 377,17 694,21 432,28 206,39 855,36 703,34 095
947,Eastern and South-Eastern Asia,,,1832,Japan,392,77 774,96 279,128 017,169 369,214 790,207 695,199 644,228 989
948,Eastern and South-Eastern Asia,,,1832,Mongolia,496,3 356,5 426,8 396,13 740,22 132,31 214,52 114,66 955
949,Eastern and South-Eastern Asia,,,1832,Republic of Korea,410,751 768,744 551,740 043,722 449,720 135,671 052,576 527,556 652
950,Eastern and South-Eastern Asia,,,1832,Southern Asia,5501,265 988,356 714,465 279,765 439,1 237 535,1 681 182,1 831 081,2 020 468
951,Eastern and South-Eastern Asia,,,1832,Afghanistan,4,569,721,1 107,1 474,4 055,9 993,14 725,16 504
